nm,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,attack_7,attack_8,attack_9,attack_10,wrestle_1,wrestle_2,wrestle_3,wrestle_4,wrestle_5,wrestle_6,wrestle_7,wrestle_8,wrestle_9,wrestle_10,chase_1,chase_2,chase_3,chase_4,chase_5,chase_6,chase_7,chase_8,chase_9,chase_10,escape_1,escape_2,escape_3,escape_4,escape_5,escape_6,escape_7,escape_8,escape_9,escape_10,conflict_1,conflict_2,conflict_3,conflict_4,conflict_5,conflict_6,conflict_7,conflict_8,conflict_9,conflict_10,investment_1,investment_2,investment_3,investment_4,investment_5,investment_6,investment_7,investment_8,investment_9,investment_10
n2638 =,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,7.9771,0,0,0,6.30825,0,0,0,0,0
n2638 o,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,537.9361,424.35449,241.8164,231.30254,254.3995,194.85502,244.55332,285.87432,371.586
n2638 A,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,0,1,0,0,1,1,1,8,7,3,0,1,0,0,1,1,1,545.7134,2.33639,0,0,0,0,0,110.17751,600.18535,0
n2638 H,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,32.4424,0,0,7.64333,0.967933,0,0,0,0,0
n2638 O,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,3,1,0,0,0,0,0,14,3,1,3,1,0,0,0,0,0,57.5419,241.81638,302.162,172.525703,0,248.35825,0,0,0
n2638 X,0,16,1,1,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,2,1,1,0,0,0,0,0,547.41518,351.49242,264.6797,420.68405,599.4512,324.22404,339.54428,397.7539,600.1854
n2639 =,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,4,6,0,0,0,451.0571,524.65266,406.064504,589.0704,178.76721,0,32.7095,0,0,10.14661
n2639 o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,533.2307,296.454524,444.8484,531.76234,0,0,0,145.7574,0
n2639 A,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,541.64232,561.10041,599.784604,600.4186,554.35864,452.45892,485.16785,580.22523,349.49029,364.54338
n2639 H,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,1,1,0,0,0,0,8,0,0,0,373.78945,0,14.3521,0,0,0,180.83649,4.50589,0,571.68101
