nm,attack_1,attack_2,attack_3,attack_4,attack_5,attack_6,attack_7,attack_8,attack_9,attack_10,wrestle_1,wrestle_2,wrestle_3,wrestle_4,wrestle_5,wrestle_6,wrestle_7,wrestle_8,wrestle_9,wrestle_10,chase_1,chase_2,chase_3,chase_4,chase_5,chase_6,chase_7,chase_8,chase_9,chase_10,escape_1,escape_2,escape_3,escape_4,escape_5,escape_6,escape_7,escape_8,escape_9,escape_10,conflict_1,conflict_2,conflict_3,conflict_4,conflict_5,conflict_6,conflict_7,conflict_8,conflict_9,conflict_10,investment_1,investment_2,investment_3,investment_4,investment_5,investment_6,investment_7,investment_8,investment_9,investment_10
n2726 O,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,180.469,527.08987,413.57475,429.02851,475.68853,527.12298,559.96575,366.64617,453.56016
n2726 X,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,184.208,120.09043,0,0,0,503.8926,229.2333,0,371.11898
n2727 =,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,630.15776,5.14006,8.94504,14.786,151.96547,0,0,0,0,0
n2727 o,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,556.19441,7.47645,0,0,0,0,0,0,0,0
n2727 A,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,15.4869,412.406557,324.05728,265.68076,448.31953,445.68258,151.23114,272.4899,576.7542,550.75424
n2727 O,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,144.98971,114.616597,0,0,0,0,0,0,0,0
n2727 X,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,568.510627,282.63635,74.76436,315.07884,0,0,211.4434,533.09719,265.51422
n2728 =,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2.40314,296.555,4.90642,0,43.9575,0,0,70.92614,0,7.74346
n2728 o,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,141.08437,561.63445,599.51776
n2728 A,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,600.31921,574.04535,585.63242,320.08494,0,0,0,383.46887,561.63445,254.93346
n2728 H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,9.04517,558.69786,0,120.8914,0,0,0,568.67759,251.26165,498.71926
n2728 O,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,599.68488,599.11685,599.51776
n2728 X,0,0,0,3,0,0,0,3,0,0,0,2,0,3,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,5,2,3,0,558.69786,600.35172,592.90843,587.93539,585.2987,590.5391,599.68488,599.11685,599.51776
n2737 =,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,221.95662,38.1165,0,0,0,0,0,0,0,0
n2737 o,6,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,12,0,1,2,0,0,0,0,0,0,458.85486,0,0,36.6479,0,0,0,1.70223,0,0
n2737 A,18,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,3,0,0,0,0,0,0,293.31634,589.33787,401.39169,450.55563,337.64175,166.85174,501.88984,111.1454,422.0852,284.70573
n2737 O,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0,600.41818,541.30834,599.18374,503.92544,342.28121,267.75042,259.039,0,558.530079,600.08459
n2737 X,1,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2.70354,0,0,0,0
n2759 =,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,598.78396,0,0,0,0,0,0,0,0,0
n2759 o,0,2,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,0,1.53534,292.81607,221.4564,377.8613,341.5464,315.6129,92.0204,0,212.30803,0
n2759 A,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n2759 H,1,0,9,6,3,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,8,6,0,0,0,0,0,517.64444,374.18937,0,117.4537,599.85072,597.5484,600.2522,599.384,598.58026,599.017
n2759 O,0,0,0,5,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,117.4537,123.39479,0,0,0,0,0
n2759 X,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,114.88365,0,0,0,0,0,0,0,0,0
n2801 =,4,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,3,0,521.5155,595.81302,585.533344,137.9138,158.5074,304.88193,109.47656,71.093,467.745,480.62477
n2801 o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,1,0,46.09365,0,265.547934,0,42.9562,201.53078,7.24281,0,0,0
n2801 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,25.33316,0,0,182.53883,0,0,0,0,0,0
n2801 H,0,4,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,0,0,570.31303,471.183754,0,580.05924,590.39754,273.35731,152.9671,599.81784,76.66694
n2801 O,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,44.57988,0,0,67.722,0,0,0,0,0
n2801 X,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,1,0,1,0,0,0,1,3,0,449.72169,424.62232,2.23626,0,0,0,0,123.1611,242.91784,0
n2802 =,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.58515,0,0,0,0,0,0,0,0
n2802 o,0,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,297.55606,365.77863,390.8116,35.34627,428.9942,369.85056,294.81883,0,281.69416,599.885
n2802 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,168.42048,0,0,0,0,0
n2802 H,19,1,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,3,0,0,0,0,0,0,0,340.51223,371.18577,462.77255,0,0,301.4277,0,452.959,471.98386,599.885
n2802 O,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,260.97488,0,0,0,0,0,0,0,0,0
n2802 X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.27225,0,0,0,0,0,0,0,0,0
n2809 o,0,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,1,0,0,0,0,463.74021,600.853,542.20972,571.8815,284.10454,599.918,108.83748,308.6707
n2809 A,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,499.85399,313.94421,0,0,0,20.4267,0,0,0
n2809 H,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.1676,0
n2809 O,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,438.84099,0,0,0,0,30.2396,108.408,0,0
n2809 X,2,13,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,14,0,0,0,0,0,11,0,0,148.06,0,480.02821,0,509.50026,601.0864,305.80004,599.918,481.8922,306.935
n2810 =,6,6,10,6,0,0,0,0,0,0,6,7,3,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,19,17,10,0,0,0,0,0,0,461.0028,376.82633,587.368,599.851,600.052,537.50277,0,600.1518,587.8354,601.45328
n2810 o,8,27,11,1,0,0,0,0,0,0,2,4,6,3,0,0,0,0,0,0,2,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,41,18,5,0,0,0,0,0,1,461.0028,459.06723,600.8189,599.851,600.052,601.08594,380.8979,564.138,550.086,441.47728
n2810 A,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74084,0,0,0,0
n2810 H,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,2,15,1,1,0,1,1,0,0,0,2,370.3842,0,451.6239,0,0,0,0,600.1518,0,0
n2810 O,0,0,0,0,0,0,0,1,4,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0,0,1,0,0,4,8,3,0,0,0,0,2,6,0,15.3868,124.997,0,0,0,0,307.9024,600.1518,574.3511,395.88438
n2810 X,4,4,4,0,0,0,0,1,0,0,3,1,0,0,0,0,0,2,1,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,11,5,0,0,1,0,3,2,0,492.8111,591.7074,600.8189,599.851,0,601.08594,0,0,0,0
n2837 =,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3,2,2,1,0,1,2,1,0,0,4,565.0065,590.471689,270.855,357.60087,411.37144,3.00393,0,0,39.35153,0
n2837 o,6,0,0,0,0,6,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,11,1,0,0,0,9,2,2,2,3,559.1989,599.583609,599.5512,343.34923,193.31994,564.50553,0,44.49154,600.18446,0
n2837 A,3,0,0,0,0,4,2,1,2,3,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,5,1,0,0,1,0,0,1,0,0,0,6,0,0,1,0,6,4,1,5,8,599.9856,353.728979,599.5512,601.21966,595.8132,584.06443,538.3711,398.85487,372.31974,356.96742
n2837 H,0,0,0,3,1,0,0,0,0,0,0,0,0,4,4,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,1,0,0,0,9,5,3,4,4,1,3,599.9856,599.583609,599.5512,595.2118,601.12014,599.95193,0,0,0,0
n2837 O,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,2,3,2,0,0,2,1,0,597.5157,596.01227,599.5512,376.92627,36.64794,0,0,447.55203,0,0
n2837 X,0,0,1,3,4,4,5,3,0,2,0,0,0,1,3,2,0,1,0,0,0,0,2,1,3,5,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,5,10,12,6,5,0,4,599.9856,599.583609,599.5512,601.21966,601.12014,599.95193,498.886,601.01943,588.06863,600.2525
n2862 =,11,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,14,0,2,2,2,0,0,1,0,0,461.436716,0,103.50211,0,95.45824,1.00131,0,447.05171,0,0
n2862 o,11,3,4,8,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,4,4,9,1,0,0,2,0,0,580.8262,519.88033,476.05631,493.34542,345.98549,434.99727,0,600.55251,399.68957,405.39698
n2862 A,8,1,0,0,0,0,0,0,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0,17,5,0,4,0,0,0,1,0,0,516.37526,0,23.3639,455.96318,239.78045,3.80498,43.0563,243.41867,0,0
n2886 =,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,131.238,488.80609,392.58012,499.85405,545.27996,509.29932,531.19488,499.512213,569.7459
n2886 o,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,407.6003,0,0,0,0,0,0,0,0,0
n2886 A,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,589.938,0,0,0,0,0,0,21.6617,0
n2886 H,0,19,7,12,0,0,0,0,0,0,0,12,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,18,20,0,0,0,0,0,0,0,600.5519,590.5392,600.95317,419.51559,213.6721,67.52163,401.49191,578.982843,545.51418
n2886 O,4,0,4,15,0,0,0,0,0,0,2,0,5,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,10,22,0,0,0,0,0,0,112.047,0,569.51169,600.95317,6.80891,0,0,19.19173,28.662613,0
n2886 X,7,25,9,3,0,0,0,0,0,0,1,12,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,37,17,6,0,0,0,0,0,0,206.8043,600.5519,569.51169,422.98717,0,0,0,0,68.714963,0
n2887 o,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.98306,0,6.174749,0,0,0,0,0,35.3462,0
n2887 H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.91035,0,0,0,42.58906,0,595.71237,0,19.15839,0
n2887 O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,268.517792,601.18672,203.59966,447.35232,134.34238,593.40976,595.71237,601.15331,457.859,193.38637
n2887 X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,324.12373,0,480.82909,0,0,0,0,0,0,0
n2893 =,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,409.068626,599.88446,0,310.10564,388.67508,244.0192,600.08517,22.8966,601.18152,560.0995
n2893 o,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,410.41843,0,553.7913,594.47797,131.13824,61.2468,0,331.1612,389.90552,0
n2893 A,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,341.947396,509.33262,599.9851,194.5882,569.511676,23.5975,100.69845,485.63528,598.27772,336.0394
n2893 H,9,1,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,3,1,0,0,0,0,0,446.74923,564.338,599.9851,322.62229,259.305856,81.87378,353.26217,599.61771,594.5395,155.6369
n2893 O,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,152.69984,0,595.7796,479.29396,585.73292,93.32205,98.9628,0,0,0
n2893 X,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,274.924276,136.34506,536.7357,33.27687,0,2.67016,0,0,0,42.2219
n2894 =,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,533.69784,601.1201,532.79728,569.211,369.01101,402.96062,315.24583,502.92476,178.79384,277.93055
n2894 o,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,169.12135,264.546,600.08526,600.3184,0,0,0,0,0,0
n2894 H,0,16,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,539.673,568.84436,600.3184,123.8286,416.67834,491.87693,169.08794,210.509,510.13442
n2894 O,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,534.66577,0,0,0,0,8.54451,5.03993,0,0,0
n2894 X,0,8,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,537.6697,0,0,0,0,0,0,0,0,0
n2908 =,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,451.02426,599.61706,188.64673,541.34189,336.03954,0,0,582.79588,576.6216,0
n2908 o,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,599.98546,334.6375,481.19826,575.18614,539.23878,85.47848,311.34061,19.72581,0,544.31167
n2908 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,599.98546,571.41346,331.53152,131.80573,0,0,0,554.558945,0,0
n2908 H,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,173.761,3.3377,0,573.75093,555.8939,282.53627,552.02282,16.72184,0,0
n2908 O,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,1,0,0,415.3108,599.61706,601.01956,522.41718,0,584.06437,436.50509,600.218675,600.18577,592.47469
n2908 X,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,590.40626,106.30537,0,4.33901,200.09507,27.4025,0,0,0,0
n2961 =,5,1,0,2,1,3,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,4,4,6,1,0,0,0,511.8357,600.15189,426.2243,579.1569,594.64803,502.52484,104.77043,556.49446,108.67546,524.41972
n2961 o,0,0,0,2,2,0,0,0,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,2,3,4,0,0,0,1,27.3358,538.83839,426.2243,599.9508,600.98966,0,0,0,0,600.41912
n2961 A,0,1,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,12,1,0,1,0,0,1,0,600.15189,347.78837,499.78643,4.07199,0,115.2508,599.95134,401.45836,496.7836
n2961 H,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,600.8856,0,426.2243,0,0,0,0,0,0,0
n2961 O,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,600.15189,412.74,559.73153,510.83829,550.82137,276.99579,388.80828,391.37827,557.12916
n2961 X,4,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7,6,0,0,0,0,0,1,0,0,600.8856,354.931,225.39493,0,0,0,267.75043,29.07141,0,0
n2971 =,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,600.11858,600.55259,599.98438,599.98479,449.52113,600.58548,525.88826,543.14368,69.3574,326.25984
n2971 o,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,600.11858,528.22456,311.3072,0,0,306.55864,310.70656,485.93547,600.15129,593.30924
n2971 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,592.1081,600.55259,425.89008,425.38979,205.86916,0,599.91846,552.05527,546.04712,140.85105
n2971 H,13,3,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,2,0,0,0,0,600.11858,578.32351,0,218.5194,0,389.24236,0,0,149.7292,1.76898
n2971 O,11,12,1,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,1,0,0,1,0,0,0,1,600.11858,286.07441,30.2396,0,0,141.0512,0,0,0,512.60362
n2971 X,5,14,3,2,1,8,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,3,2,1,9,0,0,0,0,600.11858,594.77836,533.197,590.973,545.7467,588.63648,92.22072,593.40946,600.15129,519.44598
