nm,nest,treat,gender,i_width,i_weight,i_body,i_BMI,i_age,i_mark,i_invest,mi_hier,i_conflict,mean_temp,max_temp,temp_range,group_size,i_wrestle.num,i_attack.num,i_chase.num,i_escape.num,Tb,max_temp_time,conflict_invest,attack_invest,wrestle_invest,chase_invest,escape_invest,Tc
n3382 O,n3382,maggot,female,6.11,352,57.61047463,9.428882918,104,O,3186.668667,1,38,0.896666667,2.9,2.9,3.3,5,21,9,3,18.99714286,0.600247222,0.011924679,0.006589954,0.001569037,0.002824266,0.000941422,18.19714286
n3382 X,n3382,maggot,female,6.22,409,65.75562701,10.57164421,138,X,2731.37366,2,28,0.494444444,3.1,3.7,3.3,3,7,0,18,18.10294118,0.150001667,0.010251252,0.002562813,0.001098348,0,0.006590091,17.75294118
n3383 =,n3383,maggot,male,6.04,426,70.52980132,11.67711942,103,=,3420.308069,1,39,1.051162791,5.4,5.5,3.8,5,19,7,8,18.98039216,0.299977778,0.011402482,0.005555055,0.001461857,0.002046599,0.002338971,18.01568627
n3383 A,n3383,maggot,male,5.56,294,52.87769784,9.51037731,104,A,1282.678422,2,22,0.197222222,1.1,1.5,3.8,0,11,0,11,18.37105263,0.650269444,0.01715161,0.008575805,0,0,0.008575805,18.17105263
n3383 H,n3383,maggot,female,6.62,496,74.9244713,11.31789597,130,H,4239.564259,1,29,1.208571429,2.9,2.5,3.8,7,17,3,2,18.92156863,0.750102778,0.006840326,0.004009846,0.001651113,0.00070762,0.000471747,17.79019608
n3383 o,n3383,maggot,male,6.15,377,61.30081301,9.967611871,111,o,1265.055379,3,14,1.183333333,4.8,4.9,3.8,5,1,0,8,19.23076923,0.400144444,0.011066709,0.000790479,0.003952396,0,0.006323834,18.11794872
n3383 O,n3383,maggot,female,6.45,421,65.27131783,10.11958416,114,O,2106.322443,2,27,0.474285714,2.3,2.5,3.8,2,5,1,19,18.63157895,0.299977778,0.01281855,0.002373806,0.000949522,0.000474761,0.009020461,18.14736842
n3383 X,n3383,maggot,female,6.29,428,68.0445151,10.81788793,132,X,2136.228403,2,24,0.41,1,1.3,3.8,5,6,0,13,18.43823529,0.400144444,0.011234754,0.002808688,0.002340574,0,0.006085492,18.03529412
n3445 =,n3445,maggot,male,6.31,398,63.07448494,9.99595641,112,=,1944.543543,2,19,0.496296296,2.5,2.8,5,6,6,0,7,18.91290323,2.000477778,0.009770931,0.003085557,0.003085557,0,0.003599817,18.56129032
n3445 A,n3445,maggot,male,6.31,459,72.74167987,11.52799998,101,A,4563.673591,1,38,0.983870968,3,3.3,5,8,24,6,0,19.07272727,0.449958333,0.008326625,0.005258921,0.001752974,0.00131473,0,18.30454545
n3445 H,n3445,maggot,female,6.21,409,65.86151369,10.60571879,112,H,5538.145731,3,22,0.889285714,3.6,4,5,3,4,0,15,18.86904762,0.650294444,0.003972449,0.000722263,0.000541698,0,0.002708488,18.21666667
n3445 o,n3445,maggot,male,5.52,279,50.54347826,9.156427221,112,o,2073.97995,3,10,0.241176471,2,2.7,5,2,2,0,6,18.52272727,1.150275,0.004821647,0.000964329,0.000964329,0,0.002892988,18.36818182
n3445 O,n3445,maggot,female,5.93,386,65.09274874,10.97685476,112,O,5464.883151,2,19,0.325,2.9,4.2,5,2,11,0,6,18.32758621,1.150275,0.003476744,0.002012852,0.000365973,0,0.001097919,17.98275862
n3445 X,n3445,maggot,female,6.42,412,64.17445483,9.996021001,112,X,4322.654691,1,20,1.373913043,4.4,4.8,5,5,14,1,0,19.32424242,0.650294444,0.004626786,0.00323875,0.001156697,0.000231339,0,18.31515152
n3446 =,n3446,maggot,male,5.73,315,54.97382199,9.594035251,120,=,81.773642,3,5,0.8625,1.7,1.7,3.5,1,0,0,4,18.8,0.500005556,0.061144397,0,0.012228879,0,0.048915517,17.94
n3446 A,n3446,maggot,male,6.61,493,74.58396369,11.28350434,112,A,5190.557956,1,24,1.075,3.9,4.3,3.5,2,20,2,0,18.95909091,0.249991667,0.00462378,0.00385315,0.000385315,0.000385315,0,17.92727273
n3446 H,n3446,maggot,female,6.03,378,62.68656716,10.39578228,112,H,1168.295207,2,52,2.573913043,5,5.4,3.5,22,11,0,19,20.31851852,0.800222222,0.044509298,0.009415429,0.018830857,0,0.016263013,18.01851852
n3446 o,n3446,maggot,male,6.2,365,58.87096774,9.495317378,112,o,415.97764,2,14,1.033333333,3.8,4.2,3.5,1,2,0,11,18.59166667,0.151113333,0.033655655,0.004807951,0.002403975,0,0.026443729,17.73333333
n3446 O,n3446,maggot,female,6.22,428,68.81028939,11.06274749,112,O,5429.238226,1,73,2.707317073,4.6,4.6,3.5,22,45,6,0,19.93090909,1.300291667,0.013445717,0.008288456,0.004052134,0.001105127,0,17.72545455
n3446 X,n3446,maggot,female,5.7,318,55.78947368,9.787626962,112,X,1691.946769,3,6,1.069230769,4.4,4.5,3.5,0,1,0,5,18.79411765,0.450552778,0.003546211,0.000591035,0,0,0.002955176,17.91176471
